t_ekf,yaw_rtk,yaw_ekf,diff_deg
1780294796.0380063,-1.0451031560942046,-1.0456764703951718,0.03284848977991287
1780294796.0580075,-1.0499900779997886,-1.0472824813911483,-0.15513385829902313
1780294796.078455,-1.0545279340549738,-1.0483462365378056,-0.35418517796023985
1780294796.0995934,-1.0595893888857575,-1.0494127441563756,-0.5830787925976335
1780294796.1179922,-1.0651744424921394,-1.0491572835097092,-0.9177156094833113
1780294796.9217627,-1.0660471071181368,-1.074463778813253,0.48223976567737714
1780294796.93858,-1.0660471071181368,-1.0756395833768142,0.5496084047016588
1780294796.9589531,-1.0660471071181368,-1.0754528743478877,0.5389107653471855
1780294796.98245,-1.0660471071181368,-1.0758266665458271,0.5603274807040334
1780294796.997969,-1.0660471071181368,-1.0773532255162495,0.6477928668870679
1780294797.017925,-1.0660471071181368,-1.0789166161383406,0.7373685512632201
1780294797.0416534,-1.0704104302481228,-1.0806113948324436,0.5844722176440088
1780294797.058008,-1.0728538912009147,-1.0808761828219389,0.45964345190784983
1780294797.078,-1.0772172143309,-1.0817911196111922,0.2620654684533462
1780294797.1028051,-1.0829768008624818,-1.082840644692006,-0.007801173922927002
1780294797.9003859,-1.0850711959648747,-1.1056026016626848,1.176362893955369
1780294797.918,-1.0850711959648747,-1.1060826871871217,1.2038697683109283
1780294797.94046,-1.0850711959648747,-1.1064487207503257,1.2248419466426572
1780294797.9729908,-1.0850711959648747,-1.1068846857808154,1.2498209029050096
1780294797.9956276,-1.0850711959648747,-1.1076481798786,1.293565892391212
1780294798.0190458,-1.0850711959648747,-1.1082944875117835,1.330596592039717
1780294798.0427225,-1.0878637227680659,-1.1088107299510652,1.2001751050160827
1780294798.0606844,-1.0906562495712562,-1.109107321258146,1.0571685351521112
1780294798.0786166,-1.096415836102838,-1.1093647159157531,0.741916162702189
1780294798.0982027,-1.098510231205231,-1.108771320198488,0.5879170925217597
1780294798.1182752,-1.1013027580084218,-1.1082366720702426,0.39728401124874313
1780294798.9180684,-1.1009536921580232,-1.1205534008355653,1.1229805869091
1780294798.9385056,-1.1009536921580232,-1.1212073524695523,1.1604492555422368
1780294798.9581788,-1.1009536921580232,-1.1217228384856355,1.189984428661817
1780294798.9779675,-1.1009536921580232,-1.1219459024838485,1.2027650543207378
1780294798.9979932,-1.1009536921580232,-1.1221648493704521,1.2153097868606546
1780294799.0200627,-1.1009536921580234,-1.1223953432569056,1.228516113757993
1780294799.0380058,-1.106189679914006,-1.1221077087678044,0.9120358714901121
1780294799.057983,-1.1121237993707869,-1.1219080648321011,0.5605971165689296
1780294799.0781226,-1.1135200627723825,-1.1220308178417189,0.4876303459425464
1780294799.1009338,-1.1135200627723822,-1.1226148292391886,0.5210917342051145
1780294799.9179711,-1.1178833859023682,-1.1324272881784474,0.8333042180700475
1780294799.9379911,-1.1178833859023682,-1.1328958111474121,0.8601486067966644
1780294799.9597056,-1.1178833859023682,-1.133810461452787,0.9125542090250018
1780294799.9780111,-1.1178833859023682,-1.1344931506181117,0.9516694169174136
1780294800.003806,-1.1178833859023682,-1.1351353741780812,0.9884661164075303
1780294800.0253441,-1.1184069846779665,-1.1355995102800722,0.9850591561712718
1780294800.0501132,-1.121723110256756,-1.135510249972068,0.7899449172445758
1780294800.0603645,-1.124690169985146,-1.13537325391099,0.6120956211349146
1780294800.077983,-1.1281808284891346,-1.1353699841438016,0.41190827727503204
1780294800.0980043,-1.1306242894419265,-1.1351883689069604,0.261502490708769
1780294800.1179965,-1.1337658820955165,-1.134690282479592,0.05296424058779128
1780294800.9061368,-1.1334168162451175,-1.1489323693641713,0.8889757105328254
1780294800.9266706,-1.1334168162451175,-1.1490545469523645,0.8959759706873842
1780294800.938578,-1.1334168162451175,-1.1491610528961496,0.902078311759324
1780294800.9580035,-1.1334168162451175,-1.1490695023860809,0.8968328539201171
1780294800.980281,-1.1334168162451175,-1.1489488348088157,0.8899191110187556
1780294801.0023172,-1.1334168162451175,-1.149415421800567,0.9166525764218095
1780294801.018157,-1.1334168162451175,-1.1494686592660623,0.9197028585066663
1780294801.0567198,-1.1363838759735083,-1.1495566716305723,0.7547455955380258
1780294801.0874267,-1.140747199103494,-1.1492387523361498,0.48653016174184316
1780294801.1021073,-1.141619863729491,-1.1490767622211826,0.4272488118313993
