t,status
1780280697.03,4
1780280697.031,4
1780280697.032,4
1780280697.033,4
1780280697.0339,4
1780280697.0349,4
1780280697.0359,4
1780280697.0369,4
1780280697.038,4
1780280697.039,4
1780280697.04,4
1780280697.041,4
1780280697.0419,4
1780280697.0429,4
1780280697.0439,4
1780280697.0449,4
1780280697.046,4
1780280697.047,4
1780280697.048,4
1780280697.049,4
1780280697.05,4
1780280697.0509,4
1780280697.0519,4
1780280697.0529,4
1780280697.0539,4
1780280697.055,4
1780280697.056,4
1780280697.057,4
1780280697.058,4
1780280697.0589,4
1780280697.0599,4
1780280697.0609,4
1780280697.0619,4
1780280697.063,4
1780280697.064,4
1780280697.065,4
1780280697.066,4
1780280697.0669,4
1780280697.0679,4
1780280697.0689,4
1780280697.0699,4
1780280697.071,4
1780280697.072,4
1780280697.073,4
1780280697.074,4
1780280697.075,4
1780280697.0759,4
1780280697.0769,4
1780280697.0779,4
1780280697.0789,4
1780280697.08,4
1780280697.081,4
1780280697.082,4
1780280697.083,4
1780280697.0839,4
1780280697.0849,4
1780280697.0859,4
1780280697.0869,4
1780280697.088,4
1780280697.089,4
1780280697.09,4
1780280697.091,4
1780280697.0919,4
1780280697.0929,4
1780280697.0939,4
1780280697.0949,4
1780280697.096,4
1780280697.097,4
1780280697.098,4
1780280697.099,4
1780280698.0,4
1780280698.0009,4
1780280698.0019,4
1780280698.0029,4
1780280698.0039,4
1780280698.005,4
1780280698.006,4
1780280698.007,4
1780280698.008,4
1780280698.0089,4
1780280698.0099,4
1780280698.0109,4
1780280698.0119,4
1780280698.013,4
1780280698.014,4
1780280698.015,4
1780280698.016,4
1780280698.0169,4
1780280698.0179,4
1780280698.0189,4
1780280698.0199,4
1780280698.021,4
1780280698.022,4
1780280698.023,4
1780280698.024,4
1780280698.025,4
1780280698.0259,4
1780280698.0269,4
1780280698.0279,4
1780280698.0289,4
1780280698.03,4
1780280698.031,4
1780280698.032,4
1780280698.033,4
1780280698.0339,4
1780280698.0349,4
1780280698.0359,4
1780280698.0369,4
1780280698.038,4
1780280698.039,4
1780280698.04,4
1780280698.041,4
1780280698.0419,4
1780280698.0429,4
1780280698.0439,4
